year,round_id,seed,division_id,school_id,team_name,bracket,p
2016,1,1,1,749,Wake Forest,"{1,1,1,1,1,1,1}",1.0
2016,1,16,1,306,Indiana,"{6,4,2,1,1,1,1}",1.0
2016,1,9,1,518,Ohio State,"{7,5,3,2,1,1,1}",1.0
2016,1,8,1,674,Stanford,"{12,8,4,2,1,1,1}",1.0
2016,1,5,1,457,North Carolina,"{13,9,5,3,2,1,1}",1.0
2016,1,12,1,169,Creighton,"{18,12,6,3,2,1,1}",1.0
2016,1,17,1,663,SMU,"{20,14,7,4,2,1,1}",1.0
2016,1,4,1,5,Akron,"{24,16,8,4,2,1,1}",1.0
2016,1,3,1,251,Georgetown,"{25,17,9,5,3,2,1}",1.0
2016,1,17,1,67,Boston College,"{28,19,10,5,3,2,1}",1.0
2016,1,11,1,1356,Seattle,"{31,21,11,6,3,2,1}",1.0
2016,1,6,1,688,Syracuse,"{36,24,12,6,3,2,1}",1.0
2016,1,7,1,513,Notre Dame,"{37,25,13,7,4,2,1}",1.0
2016,1,10,1,392,Maryland,"{42,28,14,7,4,2,1}",1.0
2016,1,15,1,104,UC Santa Barb.,"{43,29,15,8,4,2,1}",1.0
2016,1,2,1,147,Clemson,"{48,32,16,8,4,2,1}",1.0
